"Env","Date","RH2M","T2M_MAX","ALLSKY_SFC_SW_DWN","T2MWET","GWETTOP","QV2M","GWETPROF","T2M_MIN","T2MDEW","PS","T2M","GWETROOT","ALLSKY_SFC_PAR_TOT","WS2M","ALLSKY_SFC_SW_DNI","PRECTOTCORR"
"DEH1_2015",20150415,69.12,16.03,15.94,9.57,0.88,5.98,0.88,9.23,6.57,102.19,12.56,0.91,83.09,2.7,6.85,0.28
"DEH1_2015",20150416,75,19.06,25.09,10.77,0.87,6.77,0.88,7.72,8.44,102.68,13.1,0.91,126.43,2.54,27.66,0.01
"DEH1_2015",20150417,88.94,22.12,16.35,15.49,0.87,10.25,0.87,11.17,14.51,101.69,16.48,0.91,87.12,3.07,14,3.04
"DEH1_2015",20150418,79.75,23.44,24.56,16.05,0.87,9.95,0.86,12.42,14.12,101.44,18,0.9,126.23,1.41,28.05,0.36
"DEH1_2015",20150419,84.44,14.35,18.07,11.32,0.87,7.57,0.86,10.57,9.98,101.77,12.65,0.89,94.41,5.13,8.14,8.92
"DEH1_2015",20150420,88.12,23.91,17.46,17.94,0.91,12.08,0.89,12.94,16.88,100.37,18.99,0.93,92.73,5.52,10.44,29.43
"DEH1_2015",20150421,71.88,18.02,25.5,12.79,0.88,7.87,0.89,10.13,10.05,100.6,15.54,0.93,126.22,3.9,29.06,2.64
"DEH1_2015",20150422,75.56,20.48,22.45,11.47,0.88,7.26,0.88,7.68,9.12,100.63,13.83,0.91,112.09,4.32,23,1.11
"DEH1_2015",20150423,66.69,13.05,20.88,5.8,0.87,4.58,0.87,4.15,2.67,100.99,8.91,0.91,103.51,4.09,21.59,0.01
"DEH1_2015",20150424,63.81,12.42,28.09,3.53,0.87,3.78,0.86,2.01,0.12,101.36,6.94,0.9,137.48,4.37,37.42,0
"DEH1_2015",20150425,74.56,10.98,8.91,4.7,0.87,4.52,0.86,2.15,2.38,101.06,7.03,0.9,49.94,1.62,3.45,5.13
"DEH1_2015",20150426,77.5,16.1,23.25,7.68,0.86,5.68,0.86,4.69,5.58,100.42,9.77,0.9,117.88,1.48,23.11,0.1
"DEH1_2015",20150427,74.31,15.19,18.91,7.81,0.86,5.55,0.85,4.17,5.44,100.69,10.19,0.89,95.78,3.27,15.1,0
"DEH1_2015",20150428,76.56,18.25,23.85,9.98,0.85,6.59,0.84,5.78,7.83,100.93,12.12,0.88,121.27,3.62,26.76,0
"DEH1_2015",20150429,75.56,21.36,24.73,12.29,0.84,7.57,0.84,7.57,9.87,100.67,14.7,0.88,122.86,2.1,27.02,0
"DEH1_2015",20150430,84.81,19.88,16.4,13.26,0.84,8.73,0.83,10,11.96,100.55,14.56,0.87,86.88,1.93,6.37,1.2
"DEH1_2015",20150501,85.81,13.12,8.57,9.47,0.85,6.77,0.84,5.99,8.27,101.19,10.65,0.87,49.66,3.75,3.01,4.73
"DEH1_2015",20150502,79.06,19.02,27.18,11.08,0.84,7.2,0.83,6.05,9.15,101.5,13.01,0.86,139.32,1.81,33.62,0.11
"DEH1_2015",20150503,73.88,24.09,26.86,14.23,0.84,8.42,0.82,9.64,11.6,101.83,16.84,0.85,135.54,1.66,31.56,0.02
"DEH1_2015",20150504,72,25.56,27.05,15.85,0.83,9.16,0.81,12.11,12.97,102.24,18.74,0.84,136.62,3.2,32.6,0
"DEH1_2015",20150505,78.75,26.33,25.68,18.38,0.82,11.41,0.8,15.94,16.36,102.23,20.4,0.83,132.27,3.26,26.86,0.23
"DEH1_2015",20150506,82.81,25.78,22.22,18.18,0.81,11.6,0.8,13.26,16.54,102.15,19.82,0.82,115.29,1.96,16.24,0.37
"DEH1_2015",20150507,82.5,24,23.41,16.01,0.8,10.07,0.79,12.89,14.37,102.07,17.66,0.81,123.93,1.88,20.85,0.04
"DEH1_2015",20150508,84.06,24.2,25.33,16.26,0.8,10.38,0.78,11.97,14.8,102.01,17.73,0.8,132.29,2.06,25.13,0.13
"DEH1_2015",20150509,85.75,26.15,22.76,18.48,0.79,12.08,0.77,13.51,17.23,102.21,19.72,0.8,120.34,1.89,19.08,0.45
"DEH1_2015",20150510,86.38,27.18,22.71,20.15,0.78,13.43,0.76,16.39,18.87,102.13,21.44,0.79,122.28,2.84,20.7,0.4
"DEH1_2015",20150511,90.06,24.82,11.79,20.31,0.78,13.98,0.76,17.89,19.45,101.63,21.17,0.78,67.69,2.88,5.54,0.75
"DEH1_2015",20150512,80.44,28.71,24.37,21.54,0.77,14.28,0.75,18.09,19.66,101.22,23.4,0.77,130.2,3.59,22.92,0.57
"DEH1_2015",20150513,66.25,20.19,24.82,13.41,0.76,7.57,0.73,11.84,10.12,101.98,16.72,0.76,127.09,4.19,25.08,0
"DEH1_2015",20150514,68.38,19.73,29.15,10.94,0.75,6.47,0.73,8.48,7.81,102.71,14.07,0.75,147.74,2.59,35.53,0
"DEH1_2015",20150515,77,21.71,26.23,13.43,0.74,8.12,0.72,9.74,11.19,102.44,15.67,0.74,134.55,2.85,25.18,0
"DEH1_2015",20150516,84.62,26.28,23.85,19.44,0.73,12.76,0.71,14.73,18.01,102.07,20.86,0.73,126.58,3.37,18.52,0.58
"DEH1_2015",20150517,88.75,26.5,17,21.23,0.74,14.59,0.71,19.52,20.21,101.99,22.26,0.73,94.48,1.59,9.5,3.72
"DEH1_2015",20150518,84.31,28.73,22.31,22.13,0.74,15.01,0.71,18.6,20.62,101.72,23.65,0.73,120.33,1.96,17.77,4.04
"DEH1_2015",20150519,85.25,26.77,18.63,21.51,0.74,14.65,0.71,18.35,20.13,101.16,22.9,0.73,101.89,1.98,9.23,2.05
"DEH1_2015",20150520,69.25,21.37,27.81,14.57,0.72,8.48,0.7,11.62,11.51,101.28,17.62,0.72,141.06,3.54,26.26,0.04
"DEH1_2015",20150521,83.5,14.85,4.54,11.48,0.76,7.63,0.7,10.63,10.07,101.33,12.87,0.73,27.88,2.39,1.74,17.46
"DEH1_2015",20150522,71.12,21.95,29.78,13.29,0.74,7.75,0.71,10.16,10.33,101.69,16.23,0.74,150.45,3.85,36.82,0.02
"DEH1_2015",20150523,59,20.15,30.96,10.4,0.73,5.74,0.7,8.9,6.06,102.8,14.74,0.73,153.88,2.3,41.15,0
"DEH1_2015",20150524,80.12,24.76,28.22,16.06,0.72,9.95,0.7,10.01,14.21,102.65,17.91,0.72,145.84,3.34,31.76,0
"DEH1_2015",20150525,78.38,26.15,27.59,18.69,0.7,11.54,0.69,16.23,16.56,102.41,20.82,0.7,142.95,4.29,26.37,0
"DEH1_2015",20150526,82.56,27.1,28.24,19.83,0.69,12.82,0.68,17.01,18.17,102.26,21.5,0.7,146.73,4.55,30.88,0
"DEH1_2015",20150527,84.12,28.05,25.39,21.73,0.68,14.59,0.67,19.7,20.25,102.08,23.2,0.69,136.07,4.86,23.6,0.27
"DEH1_2015",20150528,85.31,27.03,19.81,21.5,0.67,14.53,0.66,19.11,20.14,102.08,22.86,0.68,107.8,3.34,7.66,0.29
"DEH1_2015",20150529,82.25,28.28,24.82,21.19,0.66,13.85,0.66,18.43,19.45,102.24,22.93,0.67,133.38,2.16,20.87,0.16
"DEH1_2015",20150530,81.69,28.03,27.61,21.13,0.64,13.79,0.65,18.37,19.33,102.04,22.92,0.66,147.55,3.61,30.27,0.18
"DEH1_2015",20150531,78.75,29.05,27.8,21.9,0.62,14.22,0.64,20.35,19.78,101.68,24.01,0.66,147.04,4.46,29.96,0.18
"DEH1_2015",20150601,81.69,29.53,25.12,22.43,0.66,15.01,0.64,20.96,20.65,101.54,24.21,0.66,134.7,3.71,20.47,13.33
"DEH1_2015",20150602,89.12,21.82,8.22,18.1,0.73,12.27,0.66,14.51,17.15,101.59,19.05,0.69,48.63,3.06,2.9,24.01
"DEH1_2015",20150603,90.25,17.62,8.53,14.85,0.77,9.83,0.7,14.36,14.05,101.88,15.65,0.73,50.91,4.33,2.93,22.44
"DEH1_2015",20150604,89.31,19.26,8.47,15.75,0.75,10.38,0.71,14.8,14.85,101.95,16.65,0.73,51.05,4.39,2.91,7.68
"DEH1_2015",20150605,87.12,23.74,9.82,17.62,0.74,11.6,0.71,14.55,16.48,101.49,18.77,0.73,57.27,2.53,3.62,1.09
"DEH1_2015",20150606,88.81,23.73,15.8,18.28,0.74,12.27,0.71,14.19,17.31,101.26,19.25,0.73,87.12,2.34,7.33,4.22
"DEH1_2015",20150607,80.44,23.89,28.82,16.5,0.73,10.25,0.7,12.49,14.67,101.93,18.32,0.73,148.22,2.69,34.12,0.02
"DEH1_2015",20150608,81.5,27.14,27.25,20.04,0.71,13.06,0.7,15.24,18.29,101.3,21.8,0.72,144.24,5.41,27.25,0.03
"DEH1_2015",20150609,79,28.44,25.84,21.86,0.71,14.34,0.69,20.79,19.76,100.69,23.95,0.71,137.91,3.6,23.77,3.38
"DEH1_2015",20150610,76.56,27.73,26.46,20.14,0.7,12.63,0.68,17.3,17.8,101.12,22.48,0.7,134.77,1.82,23.71,0.03
"DEH1_2015",20150611,82.19,30.65,25.48,23.08,0.68,15.75,0.67,18.98,21.32,101.25,24.85,0.69,130.76,2.82,20.76,0.21
"DEH1_2015",20150612,79.38,31.22,26.77,24.51,0.66,16.85,0.66,22.08,22.44,101.25,26.58,0.68,141.21,3.34,25.67,0.05
"DEH1_2015",20150613,82.31,31.17,24.96,24.61,0.65,17.27,0.66,22.05,22.86,101.31,26.35,0.67,135.41,2.4,22.07,1.04
"DEH1_2015",20150614,84.5,30.34,23.38,24.5,0.68,17.4,0.66,21.87,22.98,101.55,26.02,0.67,127.49,1.52,18.82,9.36
"DEH1_2015",20150615,86.94,29.76,20.18,24.87,0.71,18.13,0.66,22.7,23.65,101.38,26.11,0.69,111.58,2.27,9.48,13.16
"DEH1_2015",20150616,78.56,32.74,23.92,25.58,0.68,17.82,0.66,22.95,23.37,101.21,27.8,0.69,130.38,2.7,19.81,2.55
"DEH1_2015",20150617,75,28.47,24.06,21.76,0.66,13.79,0.66,20.48,19.21,101.71,24.31,0.67,128.94,2.54,21.25,0.22
"DEH1_2015",20150618,83.88,29.7,18.57,23.78,0.69,16.66,0.66,20.48,22.23,101.44,25.33,0.68,102.17,2.15,8.79,11.13
"DEH1_2015",20150619,79.06,29.9,21.59,24.02,0.66,16.3,0.66,22.94,21.89,101.31,26.16,0.67,117.36,2.53,12.27,0.68
"DEH1_2015",20150620,82.94,30.07,20.76,24.72,0.67,17.52,0.65,22.87,23.07,101.29,26.37,0.66,112.73,2.97,9.66,11.37
"DEH1_2015",20150621,79.25,30.75,26.06,24.94,0.71,17.4,0.67,23.8,22.87,100.79,27.01,0.69,140.93,4.21,25.52,11.25
"DEH1_2015",20150622,72.62,30.93,29.13,23.71,0.66,15.26,0.66,22.55,20.79,101.42,26.63,0.68,155.08,2.25,35.22,0.32
"DEH1_2015",20150623,78.25,33.47,26.57,26.1,0.67,18.37,0.65,23.21,23.82,101.16,28.38,0.67,140.73,3.18,21.77,9.39
"DEH1_2015",20150624,73.31,27.98,27.15,21.43,0.65,13.43,0.65,20.95,18.69,101.5,24.17,0.66,142.07,2.48,23.01,0.69
"DEH1_2015",20150625,71.38,29.64,22.66,21.7,0.67,13.43,0.65,19.92,18.73,101.48,24.68,0.66,121.65,2.02,18.97,21.57
"DEH1_2015",20150626,85.19,25.8,14.62,21.32,0.72,14.47,0.68,19.27,19.96,101.26,22.69,0.7,82.66,2.59,5.69,10.49
"DEH1_2015",20150627,89,24.23,8.73,21.26,0.72,14.89,0.68,19.03,20.29,101.1,22.22,0.7,51.79,4.48,3.3,11.14
"DEH1_2015",20150628,78.31,26.15,23.86,21.23,0.72,13.92,0.69,19.62,19.09,100.56,23.38,0.71,126.26,3.26,20.37,3.99
"DEH1_2015",20150629,71.56,26.5,30.03,18.83,0.69,11.17,0.68,16.08,15.9,101.28,21.75,0.7,154.13,2.28,36.86,0
"DEH1_2015",20150630,82,28.81,26.94,22.73,0.68,15.5,0.66,19.05,20.99,101.13,24.47,0.69,143.71,3.87,25.29,1.49
"DEH1_2015",20150701,78.88,29.08,25.88,23.12,0.67,15.5,0.66,22.36,21,100.95,25.25,0.68,132.54,2.37,23,1.96
"DEH1_2015",20150702,92.94,25.55,7.03,22.4,0.71,16.3,0.66,19.74,21.8,100.97,23.01,0.68,40.42,1.69,2.42,15.58
"DEH1_2015",20150703,82,26.82,21.98,20.5,0.7,13.37,0.67,18.02,18.75,101.25,22.24,0.7,115.7,2.43,11.68,1.37
"DEH1_2015",20150704,89.31,24.33,15.88,21.33,0.71,14.89,0.67,20.2,20.38,101.12,22.28,0.7,88.13,3.02,8.5,8.51
"DEH1_2015",20150705,81.62,28.65,21.93,21.98,0.69,14.65,0.67,18.58,20.21,101.79,23.75,0.7,116.3,1.42,12.61,0.05
"DEH1_2015",20150706,87.81,29.3,22.46,24.19,0.7,17.4,0.67,21.69,23.04,101.73,25.34,0.69,123.81,2.86,14.06,6.12
"DEH1_2015",20150707,80.75,30.77,27.11,24.76,0.68,17.21,0.66,23.27,22.85,101.53,26.68,0.69,141.98,2.9,27.6,1.31
"DEH1_2015",20150708,84.62,29.83,16.43,25.21,0.67,18.25,0.66,24.13,23.76,101.38,26.67,0.68,91.01,3.08,6.25,3.86
"DEH1_2015",20150709,80,31.51,23.19,25.23,0.67,17.7,0.66,23.58,23.25,101.26,27.22,0.67,126.09,3.17,13.7,4.63
"DEH1_2015",20150710,72.38,28.87,28.05,22.7,0.64,14.47,0.65,22.65,19.9,101.38,25.49,0.66,149.91,3.28,31.44,0.09
