probIn scale
0.4992066 0.1187752
0.4968128 0.111738
0.429129 0.1072235
0.4749008 0.1016013
0.3806149 0.1028861
0.3881684 0.104438
0.3697388 0.1034005
0.4358461 0.1022858
0.3768364 0.09600968
0.3484086 0.09680609
0.312201 0.09980588
0.2446826 0.103025
0.2645221 0.107452
0.2747861 0.1030232
0.3055179 0.1070183
0.2406067 0.1005467
0.2237242 0.09538483
0.2230985 0.09931617
0.2081192 0.1040935
0.2728582 0.1111234
0.2789579 0.1079132
0.2444498 0.1068545
0.2200958 0.1070191
0.2248992 0.09992582
0.1705289 0.1039643
0.2107022 0.113884
0.2204507 0.1157587
0.2268242 0.1165513
0.1769684 0.1090846
0.1757684 0.1034828
0.1973815 0.1022233
0.2131836 0.1065376
0.1385815 0.09788572
0.1428322 0.10433
0.1996939 0.1072214
0.1615116 0.10822
0.2061783 0.1113025
0.2003016 0.1105812
0.201431 0.1072372
0.1424872 0.1244202
0.1122207 0.14411
0.1057263 0.1499726
0.1535212 0.1632412
0.1781585 0.1586485
0.18992 0.1664492
0.2178091 0.1605899
0.213048 0.1454381
0.2193026 0.1546146
0.1915766 0.1520393
0.2101569 0.1519497
0.2279764 0.1502907
0.1899945 0.1561689
0.1351572 0.1502058
0.1214439 0.1445619
0.1607536 0.1481026
0.158856 0.1370373
0.161979 0.1388144
0.1595843 0.1419456
0.2609074 0.1398001
0.2329882 0.1320685
0.1720951 0.1227889
0.2075056 0.117182
0.1821795 0.115263
0.2157537 0.1080823
0.1945402 0.1158136
0.1713046 0.119988
0.177795 0.120929
0.2051612 0.1343241
0.2037058 0.1170026
0.2097918 0.113285
0.2450369 0.1167891
0.193564 0.1058462
0.1171461 0.104746
0.1877215 0.09698127
0.2107914 0.09316241
0.256628 0.09102107
0.3019667 0.08641
0.3472078 0.09543104
0.330625 0.09207742
0.3252179 0.08316159
0.2785159 0.08154362
0.2340154 0.08683271
0.2427822 0.0801705
0.2363501 0.08585006
0.2233912 0.08505526
0.2496833 0.08834508
0.2580732 0.08240636
0.2639584 0.08519876
0.2408944 0.08322724
0.2778097 0.07599649
