probIn scale
0.4108841 0.1308776
0.3940067 0.1221876
0.337378 0.1349057
0.2538088 0.1348351
0.2601696 0.1204912
0.2828073 0.1197536
0.2240147 0.110875
0.2430578 0.1157924
0.2681255 0.1127166
0.2618916 0.1020449
0.3269641 0.101542
0.3269358 0.09550771
0.3655235 0.07896238
0.3339419 0.079674
0.307316 0.08904364
0.2995832 0.08689103
0.2840062 0.08778965
0.2129222 0.09185048
0.1858088 0.0854916
0.1776804 0.08884576
0.1827123 0.08297304
0.2516353 0.08353367
0.2668819 0.07978539
0.2799015 0.08378713
0.2474973 0.09151936
0.2905356 0.09578371
0.3103836 0.09052198
0.3850274 0.08059353
0.3533808 0.07262616
0.3224983 0.06885445
0.3270222 0.06204934
0.411404 0.05959603
0.4217332 0.06139877
0.3930183 0.05696199
0.3606064 0.05397637
0.3202814 0.0544102
0.3579554 0.048275
0.2905358 0.0483637
0.2790685 0.04660678
0.3299063 0.04284405
0.3223153 0.04176061
0.3193909 0.04444396
0.4310523 0.04826667
0.4201665 0.04997913
0.4057376 0.04580762
0.4347088 0.04756739
0.4704095 0.04423162
0.434607 0.04304435
0.3864597 0.04528605
0.3622163 0.04320586
0.3854983 0.04610927
0.3787304 0.04698595
0.4463715 0.04825068
0.4517745 0.04876025
0.5052473 0.04848869
0.4637804 0.04817368
0.5051647 0.04942172
0.5950896 0.04492654
0.5844281 0.04366093
0.5724142 0.04699215
0.514181 0.04411717
0.5206733 0.04315235
0.4563612 0.04124351
0.4360967 0.03928522
0.4484624 0.03672801
0.5452396 0.03903697
0.5925696 0.04147272
0.5065895 0.03975798
0.5387181 0.0371846
0.5592057 0.03681466
0.5076305 0.03702737
0.537928 0.03605593
0.5105661 0.03582174
0.4371754 0.0353163
0.4425543 0.03442634
0.4994896 0.03467411
0.4457556 0.03648387
0.4057351 0.03761623
0.4207049 0.03847904
0.4555455 0.04089408
0.4318725 0.04001515
0.4363569 0.04073163
0.4581792 0.04000198
0.3364944 0.04142485
0.3766602 0.04000771
0.3648634 0.03995276
0.4181734 0.04005775
0.3964257 0.03711538
0.4478041 0.03981293
0.4105851 0.03736974
0.4466647 0.03770834
0.4366059 0.03815816
0.4058141 0.0372183
0.4047668 0.04081279
0.3967736 0.04108126
0.3837461 0.04208242
0.3750856 0.04260189
0.4208135 0.0408597
0.4332601 0.03904187
0.4331689 0.04114792
0.4995055 0.04168372
0.482808 0.04058504
0.4815264 0.04148684
0.4794001 0.03749979
0.4494187 0.03745641
0.5038587 0.03400268
0.4912202 0.03335449
0.5159648 0.03399351
0.4593725 0.03587465
0.5350475 0.03633366
0.6064421 0.04010762
0.5693705 0.03261518
0.578024 0.03490696
0.4512291 0.03459866
0.4581023 0.03392337
0.4175373 0.0371096
0.3550449 0.04029773
0.4032459 0.03760824
0.4423881 0.04007969
0.4670692 0.03987718
0.3902944 0.04087969
0.5171644 0.04371444
0.5034164 0.05037321
0.5555575 0.04678854
0.4556112 0.04652929
0.4292473 0.04490064
0.3881175 0.04767881
0.3406656 0.04421976
0.421586 0.04238726
0.4646609 0.04441283
0.4582175 0.04215552
0.4645378 0.04400862
0.4093762 0.04289961
0.4099776 0.04041841
0.3962966 0.04024295
0.3334768 0.03581782
0.3707828 0.03737027
0.3474601 0.0421889
0.3896533 0.03870891
0.3880665 0.04086164
0.4013558 0.03874591
0.4540162 0.03970677
0.4849247 0.04287634
0.5056097 0.04068975
0.5361671 0.04007667
0.5531293 0.04097468
0.5339055 0.04442985
0.6138023 0.04588849
0.5907946 0.05053272
0.544985 0.0455136
0.5775703 0.04627213
0.5881702 0.04189676
0.5823181 0.04245737
0.6162163 0.04236399
0.5634156 0.0408776
0.6019061 0.04332549
0.6752836 0.04069137
0.6378834 0.04249958
0.6577726 0.04123867
0.6529243 0.04215499
0.5518129 0.04328382
0.542773 0.04170185
0.5312472 0.04140229
0.543109 0.04172081
0.5346195 0.0395916
0.5079155 0.04121218
0.5163188 0.04001534
0.5283179 0.0407656
0.5665454 0.03546395
0.6412176 0.03643019
0.5905419 0.03611734
0.5065943 0.03487294
0.4793317 0.03546377
0.4854963 0.03554391
0.4702191 0.03381208
0.4816566 0.03381311
0.497418 0.03403918
0.512383 0.03670784
0.5213326 0.0352439
0.5103176 0.03698029
0.4154416 0.04049456
0.4160771 0.0439634
0.4924314 0.04216735
0.5141123 0.0465538
0.5696665 0.04614036
0.4540543 0.0455692
0.4509276 0.04642557
0.46414 0.04605106
0.4141815 0.04678091
0.4854533 0.04645148
0.5333798 0.04459209
0.5414992 0.04026387
0.497195 0.0411428
0.5048533 0.04379641
0.4382315 0.04523657
0.5514837 0.04574559
0.5463897 0.04573954
0.5438059 0.04298318
0.5393229 0.0435256
0.5384437 0.04176319
0.469306 0.04113827
0.4595485 0.03661153
0.4119181 0.03830896
0.4380713 0.04260542
0.4517863 0.04534956
0.4032 0.04874166
0.4547671 0.05394173
0.403953 0.05293948
0.4599102 0.05130187
0.5151852 0.05011602
0.4704003 0.04749356
0.422752 0.04793129
0.3952689 0.04992299
0.4328746 0.05107596
0.4283428 0.04651592
0.4722908 0.04686391
0.468331 0.04760618
0.5045511 0.04889562
0.4235332 0.04911621
0.4394014 0.05549518
0.4762131 0.05541182
0.406662 0.05594247
0.397049 0.05574529
0.3769479 0.05542737
0.3901604 0.0565507
0.3627738 0.05687409
0.343199 0.05819365
0.3347923 0.05531148
0.305199 0.05446269
0.3070645 0.05229328
0.3031764 0.05468209
0.3667003 0.05200904
0.3763157 0.0474112
0.3377532 0.04445902
0.3721512 0.04806299
0.4028333 0.04822256
0.4377081 0.04949272
0.4075192 0.05084686
0.3768568 0.05349603
0.3928271 0.05312888
0.403944 0.05542264
0.4048374 0.05874335
0.4133632 0.06079117
0.434422 0.0590162
0.4365612 0.0604076
0.4500919 0.0622302
0.4219889 0.05981175
0.4320677 0.05547747
0.4661515 0.06064049
0.433222 0.0558635
0.4332569 0.04984428
0.4264849 0.05139279
0.3876968 0.04714717
0.4276988 0.04827703
0.4279038 0.05068876
0.3364949 0.04981631
0.2900945 0.04864205
0.2245448 0.05141572
0.279841 0.04992023
0.2733571 0.05019731
0.3615833 0.04460626
0.3628992 0.04453686
0.3442375 0.04586597
0.439604 0.04526347
0.428349 0.04358851
0.4504954 0.04473964
0.4603237 0.04666562
0.4090421 0.05329683
0.384683 0.05256567
0.4157343 0.05286312
0.4702626 0.05467821
0.4867413 0.0527216
0.4815653 0.05364559
0.4773495 0.04924522
0.4232195 0.0498408
0.4097177 0.05078055
0.4320664 0.05758655
0.3484777 0.05860197
0.3234623 0.05798672
0.285599 0.05442689
0.3355995 0.05641663
0.2861894 0.05761022
0.2444827 0.05714796
0.2736379 0.0565111
0.3571767 0.05331452
0.3535201 0.05340218
0.4142627 0.05521839
0.3830579 0.0519254
0.4515768 0.04546722
0.4512379 0.04586563
0.5569962 0.04493597
0.5575708 0.04687635
0.5992936 0.04615051
0.5831289 0.04484998
0.5786943 0.04792755
0.5204847 0.05244949
0.4525599 0.05560665
0.4014029 0.06015017
0.3224067 0.06586349
0.3243532 0.06792487
0.2853536 0.06687444
0.3671658 0.06524224
0.3967375 0.07157966
0.4202689 0.06769005
0.4494663 0.06730091
0.4471845 0.06163851
0.3852226 0.06328838
0.348611 0.06751034
0.3587952 0.06658198
0.285795 0.06749342
0.2475821 0.06704026
0.3006587 0.0621567
0.3304234 0.06525388
0.2976949 0.06216036
0.2262208 0.06563485
0.2204911 0.06616424
0.2454317 0.06401124
