GAH1_2022 GAH1_2023 IAH1_2022 IAH1_2023 IAH2_2022 IAH2_2023 ILH1_2022 ILH1_2023 INH1_2022 INH1_2023 MNH1_2022 MNH1_2023 MOH1_2023 MOH2_2022 MOH2_2023
-5.196962 -2.837604 1.311959 2.429744 -0.411889 0.02165528 1.275565 0.7326687 2.03517 2.887959 1.836256 1.098145 -1.449004 -3.701859 -0.4437973
-5.276431 -2.89584 1.112216 2.175872 -0.4299741 0.1228934 1.242826 0.8392101 1.592428 2.689466 1.808995 1.306823 -1.561626 -3.575062 -0.3643657
-4.861308 -3.102993 1.113534 2.360102 -0.6277543 -0.09381365 0.9262947 0.73366 1.67894 2.746253 1.608491 1.240762 -1.605505 -3.851748 -0.5693859
-5.326011 -3.215976 0.7938194 2.360235 -0.6728072 -0.09910901 1.117585 0.6970374 1.715687 2.592455 1.630843 1.103317 -1.909889 -3.556952 -0.7028485
-5.229537 -2.796827 1.397172 2.378467 -0.4079516 -0.005474951 1.461465 0.7829267 1.667938 2.65964 1.70208 1.183446 -1.52838 -3.773592 -0.5347673
-4.821045 -2.604087 1.538322 2.753826 -0.1443391 0.3569335 1.377903 1.1278 1.969264 2.941619 1.995783 1.381863 -1.294088 -3.184873 -0.2795875
-4.938881 -2.437828 1.671419 2.705282 -0.1571703 0.4039102 1.522758 1.183326 2.099842 3.151728 2.050783 1.5648 -1.255225 -3.095185 -0.1316521
-4.647794 -2.256076 1.606687 2.796977 0.1241212 0.715869 2.077963 1.31524 2.173906 3.247097 2.408253 1.818401 -1.240977 -3.125422 -0.01674767
-4.598315 -2.521546 1.565863 2.787668 -0.05524226 0.5267909 1.603933 1.30689 2.380783 3.193042 1.90442 1.460759 -1.041897 -3.102209 -0.07602873
-4.782977 -2.438344 1.721466 3.003867 0.4144644 0.4279467 1.789771 1.442763 2.651147 3.505662 2.484138 1.578786 -1.092966 -2.993924 0.0812781
-4.548847 -2.312186 2.08669 3.196268 0.2458886 0.8681666 1.937704 1.483938 2.525857 3.26869 2.43097 1.939807 -0.90468 -2.719067 0.1510188
-4.603724 -2.624221 1.35901 2.772765 0.05544228 0.4585523 1.680128 1.159844 2.177907 3.214906 2.193078 1.257609 -1.27777 -3.146656 -0.2573307
-4.491732 -2.329141 1.783517 2.937647 0.1463779 0.6159155 1.905296 1.31908 2.501992 3.258565 2.460464 1.80829 -1.090105 -3.036303 0.2564769
-4.775579 -2.262567 1.587971 2.872531 -0.05429633 0.7280746 1.909671 1.543071 2.273171 3.21516 2.448198 1.720223 -0.8430705 -3.128592 -0.07127017
-4.45312 -2.458001 1.517783 2.832611 0.1413251 0.4305462 1.806314 1.387398 2.362237 3.455877 2.186995 1.908425 -1.221599 -3.185483 -0.2172068
-4.65838 -2.380421 1.696361 2.940919 0.1424587 0.4308483 1.916563 1.609879 2.288582 3.172633 2.700514 1.671503 -1.188272 -2.827893 0.03953594
-4.450994 -2.324163 1.989411 3.173654 0.331588 0.7827629 2.135615 1.393857 2.547612 3.454267 2.595925 1.822885 -0.7360246 -2.759589 0.1450556
-4.263138 -1.914201 2.12836 3.370266 0.539599 0.9325366 2.399242 1.640916 2.853869 3.547743 2.66392 2.138287 -0.589193 -2.627696 0.4649248
-3.906129 -1.939016 2.113202 3.429139 0.7295649 1.061729 2.231882 1.892287 2.9404 3.613156 2.807983 2.431163 -0.5006968 -2.472387 0.2884435
